,value,distance,amount
0,0.0,8595.5,69.85
1,14.0,978.9,7.95
2,7.0,827.1,6.72
3,100.0,563.8,4.58
4,78.0,332.4,2.7
5,94.0,191.6,1.56
6,11.0,156.6,1.27
7,99.0,149.0,1.21
8,55.0,115.3,0.94
9,72.0,110.3,0.9
10,17.0,89.7,0.73
11,95.0,45.4,0.37
12,85.0,44.6,0.36
13,3.0,31.4,0.25
14,70.0,30.1,0.24
15,81.0,15.5,0.13
16,91.0,15.3,0.12
17,57.0,6.6,0.05
18,32.0,3.6,0.03
19,77.0,3.3,0.03
