,value,distance,amount
0,0.0,1768.1,40.12
1,100.0,805.4,18.27
2,1.0,424.3,9.63
3,10.0,295.8,6.71
4,2.0,277.2,6.29
5,52.0,261.0,5.92
6,8.0,180.4,4.09
7,81.0,154.5,3.51
8,22.0,103.3,2.34
9,4.0,48.9,1.11
10,17.0,19.0,0.43
11,34.0,17.0,0.39
12,11.0,12.4,0.28
13,3.0,11.3,0.26
14,12.0,8.3,0.19
15,67.0,6.8,0.15
16,42.0,4.9,0.11
17,50.0,3.0,0.07
18,53.0,3.1,0.07
19,40.0,2.3,0.05
