,value,distance,amount
0,0.0,680.1,23.69
1,100.0,565.0,19.68
2,2.0,331.4,11.54
3,98.0,268.9,9.37
4,6.0,192.3,6.7
5,5.0,180.3,6.28
6,7.0,159.9,5.57
7,44.0,134.1,4.67
8,15.0,122.1,4.25
9,12.0,91.0,3.17
10,25.0,89.2,3.11
11,53.0,45.5,1.58
12,55.0,7.7,0.27
13,27.0,3.4,0.12
