,value,distance,amount
0,0.0,1261.3,33.21
1,99.0,609.6,16.05
2,98.0,378.3,9.96
3,96.0,353.0,9.29
4,62.0,298.1,7.85
5,48.0,263.3,6.93
6,100.0,142.6,3.75
7,54.0,110.3,2.9
8,86.0,103.3,2.72
9,92.0,47.2,1.24
10,95.0,46.3,1.22
11,91.0,44.6,1.18
12,34.0,37.5,0.99
13,82.0,20.8,0.55
14,76.0,19.8,0.52
15,88.0,17.0,0.45
16,93.0,12.4,0.33
17,71.0,8.2,0.22
18,45.0,8.1,0.21
19,43.0,5.7,0.15
20,63.0,4.9,0.13
21,14.0,3.2,0.09
22,51.0,3.0,0.08
