,value,distance,amount
0,0.0,932.0,24.54
1,99.0,630.8,16.61
2,92.0,426.2,11.22
3,1.0,323.3,8.51
4,100.0,317.5,8.36
5,78.0,298.1,7.85
6,44.0,261.0,6.87
7,98.0,237.4,6.25
8,72.0,110.3,2.9
9,81.0,46.3,1.22
10,85.0,44.6,1.18
11,40.0,37.5,0.99
12,70.0,30.1,0.79
13,76.0,20.8,0.55
14,65.0,19.8,0.52
15,56.0,17.0,0.45
16,90.0,12.4,0.33
17,89.0,8.2,0.22
18,33.0,6.0,0.16
19,80.0,5.7,0.15
20,82.0,4.9,0.13
21,58.0,3.2,0.09
22,67.0,3.0,0.08
23,66.0,2.3,0.06
