,value,distance,amount
0,0.0,1011.4,34.57
1,100.0,919.5,31.43
2,98.0,180.3,6.16
3,99.0,152.8,5.22
4,20.0,149.4,5.11
5,91.0,132.4,4.52
6,85.0,108.2,3.7
7,13.0,53.9,1.84
8,21.0,52.7,1.8
9,87.0,52.0,1.78
10,50.0,36.9,1.26
11,90.0,33.6,1.15
12,95.0,30.3,1.04
13,94.0,6.3,0.22
14,52.0,5.8,0.2
