,value,distance,amount
0,100.0,5963.5,83.76
1,6.0,572.7,8.04
2,13.0,231.4,3.25
3,27.0,123.8,1.74
4,99.0,121.9,1.71
5,22.0,45.3,0.64
6,4.0,23.4,0.33
7,20.0,19.8,0.28
8,84.0,8.6,0.12
9,85.0,6.9,0.1
10,62.0,2.6,0.04
