,value,distance,amount
0,100.0,1258.6,33.29
1,0.0,1058.8,28.01
2,2.0,471.9,12.48
3,38.0,298.1,7.88
4,1.0,244.4,6.47
5,22.0,125.1,3.31
6,63.0,110.3,2.92
7,4.0,107.4,2.84
8,9.0,47.2,1.25
9,10.0,20.8,0.55
10,20.0,19.8,0.52
11,12.0,8.3,0.22
12,90.0,5.7,0.15
13,7.0,4.1,0.11
