,value,distance,amount
0,0.0,5770.1,63.26
1,100.0,2159.9,23.68
2,96.0,274.6,3.01
3,99.0,269.7,2.96
4,59.0,144.0,1.58
5,94.0,128.9,1.41
6,16.0,89.7,0.98
7,88.0,60.3,0.66
8,11.0,59.7,0.65
9,97.0,48.5,0.53
10,89.0,43.8,0.48
11,2.0,31.4,0.34
12,92.0,31.1,0.34
13,44.0,10.1,0.11
