,value,distance,amount
0,0.0,5223.7,59.44
1,4.0,706.5,8.04
2,37.0,524.6,5.97
3,9.0,418.2,4.76
4,55.0,338.6,3.85
5,1.0,329.9,3.75
6,13.0,291.2,3.31
7,47.0,141.7,1.61
8,87.0,136.4,1.55
9,27.0,108.8,1.24
10,24.0,93.3,1.06
11,2.0,77.2,0.88
12,16.0,75.6,0.86
13,43.0,63.2,0.72
14,5.0,59.3,0.67
15,6.0,52.9,0.6
16,7.0,39.8,0.45
17,10.0,32.4,0.37
18,3.0,30.7,0.35
19,100.0,25.8,0.29
20,14.0,11.4,0.13
21,11.0,7.9,0.09
