,value,distance,amount
0,0.0,971.9,25.39
1,99.0,360.3,9.41
2,98.0,330.6,8.64
3,2.0,323.3,8.45
4,91.0,322.9,8.44
5,97.0,302.3,7.9
6,100.0,277.1,7.24
7,22.0,261.0,6.82
8,69.0,240.8,6.29
9,81.0,113.3,2.96
10,83.0,103.3,2.7
11,46.0,60.5,1.58
12,58.0,29.1,0.76
13,88.0,25.0,0.65
14,82.0,20.8,0.54
15,52.0,19.8,0.52
16,5.0,17.0,0.45
17,80.0,15.5,0.4
18,86.0,15.3,0.4
19,4.0,7.2,0.19
20,90.0,4.1,0.11
21,3.0,3.0,0.08
22,92.0,3.2,0.08
