,value,distance,amount
0,0.0,8627.0,72.04
1,14.0,978.9,8.17
2,100.0,563.8,4.71
3,78.0,332.4,2.78
4,1.0,323.3,2.7
5,94.0,191.6,1.6
6,11.0,156.6,1.31
7,99.0,149.0,1.24
8,55.0,115.3,0.96
9,9.0,110.5,0.92
10,72.0,110.3,0.92
11,3.0,91.0,0.76
12,95.0,45.4,0.38
13,85.0,44.6,0.37
14,13.0,40.1,0.33
15,70.0,30.1,0.25
16,81.0,15.5,0.13
17,91.0,15.3,0.13
18,5.0,13.6,0.11
19,2.0,8.8,0.07
20,80.0,5.6,0.05
21,58.0,3.2,0.03
22,77.0,3.3,0.03
