,value,distance,amount
0,0.0,4876.5,54.88
1,37.0,524.6,5.9
2,4.0,469.4,5.28
3,28.0,401.0,4.51
4,1.0,369.0,4.15
5,55.0,338.6,3.81
6,7.0,331.9,3.74
7,52.0,190.0,2.14
8,18.0,174.4,1.96
9,17.0,164.8,1.85
10,13.0,148.4,1.67
11,47.0,141.7,1.59
12,87.0,136.4,1.54
13,27.0,108.8,1.22
14,2.0,77.2,0.87
15,16.0,75.6,0.85
16,8.0,68.1,0.77
17,19.0,68.3,0.77
18,43.0,63.2,0.71
19,5.0,32.7,0.37
20,100.0,25.8,0.29
21,29.0,20.0,0.23
22,12.0,19.9,0.22
23,22.0,17.0,0.19
24,15.0,14.2,0.16
25,14.0,11.4,0.13
26,3.0,8.6,0.1
27,11.0,7.9,0.09
