,value,distance,amount
0,0.0,646.4,22.19
1,100.0,478.3,16.42
2,99.0,433.9,14.9
3,95.0,249.7,8.58
4,62.0,205.9,7.07
5,54.0,195.5,6.71
6,67.0,192.5,6.61
7,1.0,190.9,6.56
8,8.0,112.0,3.84
9,92.0,91.0,3.12
10,89.0,48.2,1.65
11,97.0,42.7,1.47
12,70.0,20.3,0.7
13,91.0,5.0,0.17
