,value,distance,amount
0,0.0,944.4,24.76
1,98.0,496.8,13.03
2,100.0,450.6,11.82
3,97.0,378.3,9.92
4,23.0,348.0,9.12
5,2.0,323.3,8.48
6,91.0,322.9,8.47
7,92.0,110.7,2.9
8,81.0,110.3,2.89
9,83.0,103.3,2.71
10,99.0,44.6,1.17
11,10.0,37.5,0.98
12,26.0,30.8,0.81
13,46.0,30.1,0.79
14,52.0,27.9,0.73
15,82.0,20.8,0.55
16,80.0,15.5,0.41
17,3.0,8.2,0.21
18,6.0,6.0,0.16
19,90.0,4.1,0.11
