,value,distance,amount
0,0.0,5542.1,63.2
1,100.0,2012.1,22.95
2,96.0,356.4,4.06
3,99.0,157.8,1.8
4,61.0,154.2,1.76
5,98.0,147.6,1.68
6,93.0,128.9,1.47
7,86.0,60.3,0.69
8,84.0,43.8,0.5
9,82.0,37.6,0.43
10,11.0,32.3,0.37
11,97.0,32.0,0.36
12,85.0,31.1,0.35
13,3.0,22.4,0.26
14,21.0,6.1,0.07
15,30.0,4.3,0.05
