,value,distance,amount
0,0.0,5542.1,63.18
1,100.0,1983.3,22.61
2,96.0,274.6,3.13
3,99.0,269.7,3.07
4,59.0,144.0,1.64
5,94.0,128.9,1.47
6,98.0,117.8,1.34
7,88.0,60.3,0.69
8,75.0,52.0,0.59
9,97.0,48.5,0.55
10,89.0,43.8,0.5
11,13.0,32.3,0.37
12,92.0,31.1,0.35
13,7.0,22.4,0.26
14,44.0,10.1,0.12
15,26.0,6.1,0.07
16,37.0,4.3,0.05
