,value,distance,amount
0,0.0,5770.1,63.26
1,100.0,2009.3,22.03
2,96.0,302.9,3.32
3,98.0,298.8,3.28
4,61.0,154.2,1.69
5,93.0,128.9,1.41
6,17.0,89.7,0.98
7,99.0,72.0,0.79
8,86.0,60.3,0.66
9,8.0,59.7,0.65
10,84.0,43.8,0.48
11,82.0,37.6,0.41
12,97.0,32.0,0.35
13,3.0,31.4,0.34
14,85.0,31.1,0.34
