,value,distance,amount
0,0.0,646.4,22.12
1,100.0,478.3,16.37
2,99.0,433.9,14.85
3,95.0,272.9,9.34
4,62.0,205.9,7.04
5,54.0,195.5,6.69
6,1.0,190.9,6.53
7,71.0,134.1,4.59
8,8.0,112.0,3.83
9,92.0,91.0,3.11
10,67.0,63.0,2.16
11,89.0,48.2,1.65
12,97.0,24.8,0.85
13,70.0,20.3,0.7
14,91.0,5.0,0.17
