,value,distance,amount
0,0.0,6529.5,56.29
1,14.0,978.9,8.44
2,1.0,770.1,6.64
3,94.0,467.7,4.03
4,81.0,362.7,3.13
5,27.0,331.1,2.85
6,100.0,310.8,2.68
7,41.0,297.9,2.57
8,5.0,250.9,2.16
9,3.0,204.1,1.76
10,79.0,175.1,1.51
11,10.0,162.7,1.4
12,11.0,149.5,1.29
13,96.0,118.8,1.02
14,7.0,73.4,0.63
15,17.0,56.7,0.49
16,54.0,55.4,0.48
17,67.0,51.4,0.44
18,26.0,46.7,0.4
19,74.0,38.4,0.33
20,24.0,37.0,0.32
21,57.0,26.9,0.23
22,39.0,19.3,0.17
23,85.0,14.7,0.13
24,50.0,12.3,0.11
25,25.0,13.1,0.11
26,28.0,13.0,0.11
27,60.0,11.8,0.1
28,77.0,12.0,0.1
29,88.0,8.1,0.07
